File,D,GS Overlap,GS Energy,HF Energy,DMRG2 Energy
B+_STO-3G_SINGLET_JW.json, 16, 0.0, -24.189264917100495, -23.948470366408024, -16.558915855198162
C_STO-3G_TRIPLET_BK.json, 16, 0.0, -37.21873355063724, -37.198392563731566, -36.262193336172146
C_STO-3G_TRIPLET_JW.json, 16, 0.0, -37.21873355063673, -37.198392563731566, -36.730571907278815
O_STO-3G_TRIPLET_JW.json, 16, 0.0, -73.80415023325793, -73.80415023325587, -72.47871502968837
Be_STO-3G_SINGLET_JW.json, 16, 0.0, -14.403655108067632, -14.351880476202012, -13.348198705313921
N_STO-3G_QUARTET_BK.json, 16, 0.0, -53.71901016259466, -53.71901016259394, -38.35135191792761
Li_STO-3G_DOUBLET_BK.json, 16, 1.7896134885359105e-06, -7.315836552850726, -7.315525981281089, -6.681916112703242
H2_6-31G_SINGLET_BK.json, 16, 0.0, -1.1516894969527622, -1.1265505333266992, -0.5305816297561865
Be_STO-3G_SINGLET_BK.json, 16, 0.0, -14.403655108067666, -14.351880476202012, -14.06088988682991
HeH+_3-21G_SINGLET_BK.json, 16, 0.8343730211047521, -3.1728169735771132, -2.8874377987654416, -3.1476211810523087
H2_6-31G_SINGLET_JW.json, 16, 0.0028174397931647185, -1.1516894969527633, -1.1265505333266996, -0.5326658491119152
N_STO-3G_QUARTET_JW.json, 16, 0.0, -53.71901016259454, -53.71901016259394, -38.67827321288751
B+_STO-3G_SINGLET_BK.json, 16, 0.0, -24.18926491710056, -23.948470366408024, -16.548256499495277
B_STO-3G_DOUBLET_BK.json, 16, 0.0, -24.189264917100626, -24.148988598853634, -16.547701597598337
H3+_STO-3G_SINGLET_JW.json, 16, 0.9687652819880965, -1.3609986808736991, -1.2463419007866505, -1.3123138265340781
Li_STO-3G_DOUBLET_JW.json, 16, 0.0, -7.315836552850719, -7.315525981281089, -7.124607178419479
H2_3-21G_SINGLET_BK.json, 16, 0.0013167213584098592, -1.1478774014540072, -1.1227992820505093, -0.1895469989522211
H2_3-21G_SINGLET_JW.json, 16, 0.004386729275926889, -1.1478774014540072, -1.1227992820505093, -0.5063740031438964
H3+_STO-3G_SINGLET_BK.json, 16, 0.0, -1.360998680873287, -1.2463419007866505, -1.3108957375188217
B_STO-3G_DOUBLET_JW.json, 16, 0.0, -24.18926491710035, -24.148988598853634, -16.558052798444418
H4_STO-3G_SINGLET_JW.json, 16, 0.0, -1.8743019741837186, -1.333349777097312, -1.3833704578024824
HeH+_3-21G_SINGLET_JW.json, 16, 0.5958593485215119, -3.1728169735771194, -2.8874377987654425, -3.1478063607903626
H4_STO-3G_SINGLET_BK.json, 16, 0.0, -1.874301974183718, -1.333349777097312, -1.298501170801382
B+_STO-3G_SINGLET_JW.json, 32, 0.0, -24.189264917100616, -23.948470366408024, -23.857535538720732
C_STO-3G_TRIPLET_BK.json, 32, 0.0, -37.21873355063691, -37.198392563731566, -26.352295709398412
C_STO-3G_TRIPLET_JW.json, 32, 0.0, -37.21873355063707, -37.198392563731566, -36.96208056611248
O_STO-3G_TRIPLET_JW.json, 32, 0.0, -73.80415023325858, -73.80415023325587, -73.42686538779007
Be_STO-3G_SINGLET_JW.json, 32, 0.0, -14.40365510806766, -14.351880476202012, -13.922504761637041
N_STO-3G_QUARTET_BK.json, 32, 0.0, -53.719010162595026, -53.71901016259394, -53.258921303212745
Li_STO-3G_DOUBLET_BK.json, 32, 0.0, -7.3158365528506515, -7.315525981281089, -7.18395779879074
H2_6-31G_SINGLET_BK.json, 32, 0.009192079500113153, -1.1516894969527678, -1.1265505333266992, -0.6582889282448678
Be_STO-3G_SINGLET_BK.json, 32, 0.0, -14.403655108067651, -14.351880476202012, -10.017015526356886
HeH+_3-21G_SINGLET_BK.json, 32, 0.0, -3.1728169735771155, -2.8874377987654416, -1.9701606324890462
H2_6-31G_SINGLET_JW.json, 32, 0.962859091404487, -1.1516894969527653, -1.1265505333266996, -1.0913606412299581
N_STO-3G_QUARTET_JW.json, 32, 0.0, -53.71901016259518, -53.71901016259394, -53.226675344032095
B+_STO-3G_SINGLET_BK.json, 32, 0.0, -24.18926491710059, -23.948470366408024, -23.760433340173428
B_STO-3G_DOUBLET_BK.json, 32, 0.0, -24.18926491710051, -24.148988598853634, -23.8672383697134
H3+_STO-3G_SINGLET_JW.json, 32, 0.0, -1.3609986808736818, -1.2463419007866505, -1.3362747448686791
Li_STO-3G_DOUBLET_JW.json, 32, 0.0, -7.315836552850655, -7.315525981281089, -7.114644328809453
H2_3-21G_SINGLET_BK.json, 32, 0.016336760944769175, -1.147877401454004, -1.1227992820505093, -0.6377192042997019
H2_3-21G_SINGLET_JW.json, 32, 0.9777297785455937, -1.1478774014540083, -1.1227992820505093, -1.1052301339036217
H3+_STO-3G_SINGLET_BK.json, 32, 0.0, -1.3609986808737113, -1.2463419007866505, -1.3362747445584324
